,type,batch_no,time_secs,failed_chunks
0,extraction,136,5.847442150115967,[]
0,extraction,137,5.122472047805786,[]
0,extraction,138,3.990485668182373,[]
0,extraction,139,3.0837912559509277,[]
0,extraction,14,3.434767484664917,[]
0,extraction,140,5.544438362121582,[]
0,extraction,141,3.626716136932373,[]
0,extraction,142,2.951564073562622,[]
0,extraction,143,2.7705066204071045,[]
0,extraction,144,3.8189802169799805,[]
0,extraction,145,8.037991523742676,[]
0,extraction,146,3.711047649383545,[]
0,extraction,147,2.3728396892547607,[]
0,extraction,148,3.805995464324951,[]
0,extraction,149,3.5657331943511963,[]
0,extraction,15,4.785677194595337,[]
0,extraction,150,7.50829291343689,[]
0,extraction,151,1.073587417602539,[]
0,extraction,152,4.280005693435669,[]
0,extraction,153,5.713761329650879,[]
0,extraction,154,4.144662618637085,[]
0,extraction,155,1.7791409492492676,[]
0,extraction,156,4.5790605545043945,[]
0,extraction,157,4.242456912994385,[]
0,extraction,158,2.617586135864258,[]
0,extraction,159,4.9407007694244385,[]
0,extraction,16,3.783756732940674,[]
0,extraction,160,4.262624263763428,[]
0,extraction,161,2.9849228858947754,[]
0,extraction,162,1.6964201927185059,[]
0,extraction,163,3.593336582183838,[]
0,extraction,164,4.678797960281372,[]
0,extraction,165,3.822347402572632,[]
0,extraction,166,4.057224750518799,[]
0,extraction,167,6.318296670913696,[]
0,extraction,168,1.2951562404632568,[]
0,extraction,169,4.159938335418701,[]
0,extraction,17,3.70564866065979,[]
0,extraction,170,5.290030241012573,[]
0,extraction,171,2.789440155029297,[]
0,extraction,172,4.8656885623931885,[]
0,extraction,173,2.3712401390075684,[]
0,extraction,174,4.0817296504974365,[]
0,extraction,175,2.7346031665802,[]
0,extraction,176,1.2939496040344238,[]
0,extraction,177,3.916853189468384,[]
0,extraction,178,2.073166847229004,[]
0,extraction,179,5.486279249191284,[]
0,extraction,18,2.139045476913452,[]
0,extraction,180,4.330846309661865,[]
0,extraction,181,5.712410926818848,[]
0,extraction,182,4.391227960586548,[]
0,extraction,183,3.2314529418945312,[]
0,extraction,184,3.584425449371338,[]
0,extraction,185,3.662836790084839,[]
0,extraction,186,2.9449517726898193,[]
0,extraction,187,4.843943119049072,[]
0,extraction,188,23.71195673942566,[]
