year,meetup_name,host_team,month,Location,Flag
2015,Danzi Kesh 8,NA,May,Israel,
2015,oGEM Meetup,Toronto,May,Toronto,
2015,Vilnius-Lithuania Meetup,Vilnius-Lithuania,June,Vilnius-Lithuania,
2015,Scottish teams meetup,Dundee,June,Dundee,
2015,New England (NEGEM),BostonU,June,"Boston University Photonics Center, Room 210, 8 St. Mary's St., Boston MA 02215",
2015,Mid-Atlantic Meetup,UMaryland,June,University of Maryland,
2015,Indonesian Team Meetup,ITB_INDONESIA,June,,
2015,METU_HS_Ankara,METU_HS_Ankara,June,,
2015,Pasteur Paris - Parisian Meet-up,Pasteur_Paris,July,Paris,
2015,GenetiX Tec CCM,GenetiX_Tec_CCM,July,,
2015,UNSW_BABS,BABS_UNSW_Australia,July,,
2015,iGEM India Conference 2015 : IISER Pune,IISER_Pune,July,"Lecture Hall Complex, Room No. 107, Indian Institute of Science Education and Research, Pune, India",
2015,Jamboré - Latin America Teams Meetups,Brasil-USP,July,,
2015,2015 iGEM Conference,NCTU_Formosa,July,,
2015,Cork Ireland,Cork_Ireland,July,Trinity College Dublin,
2015,Cork Ireland,TrinityCollegeDublin,July,Trinity College Dublin,
2015,Uppsala,Uppsala,July,Uppsala,
2015,Marburg,Marburg,July,Marburg,
2015,Peking Meetup,Peking,August,"Peking University, Beijing, China",
2015,Elan Vital Korea,NA,August,Athens Garden of Lotte Hotel Seoul,
2015,SKLBC-China,SKLBC-China,August,,
2015,Bordeaux,Bordeaux,August,Bordeaux,
2015,Colorado Team Meetup,CSU_Fort_Collins,August,"Suzanne and Walter Scott Bioengineering Building, Colorado State University",
2015,Westminster,Westminster,September,Westminster,
2015,New England (NEGEM),BostonU,September,"8 St. Mary's Street Boston, MA",
2015,Tokyo Tech,Tokyo_Tech,September,Boston University,
2014,LMU-Munich - Germany,LMU-Munich,May,LMU's Center of Advanced Studies,
2014,Calgary - Canada,Calgary,May,University of Calgary,
2014,Guangzhou - China,SKLBC-China,June,"TEDx Space, National Science Park, #135 Xingangxi Road, Guangzhou, China",
2014,Shenzhen SFLS- China,Shenzen_SFLS,June,Shenzhen SFLS,
2014,Edinburgh - Scotland,Edinburgh,June,"Edinburgh, Scotland",
2014,Oxford UK,Oxford,June,Oxford University,
2014,BostonU NEGEM 3.1 - USA,BostonU,June,Boston University,
2014,Wageningen - Netherlands,Wageningen_UR,June,Wageningen University,
2014,Virginia USA,Virginia,June,University of Virginia,
2014,Sheffield UK,Sheffield,July,Sheffield,
2014,Linköping - Sweden,Linkoping_Sweden,July,Linköping University,
2014,Orsay-France,Paris_Saclay,August,"Orsay, Paris Saclay",
2014,NCTU Formosa - Taiwan,NCTU_Formosa,August,NCTU Formosa,
2014,USTC Software - China,USTC-Software,August,University of Science and Technology of China,
2014,BostonU NEGEM 3.2 - USA,BostonU,August,Boston University,
2014,Wuhan China,HZAU-China,August,Huazhong Agricultural University,
2014,Brawijaya - Indonesia,UB_Indonesia,August,UB Indonesia,
2014,UCSC USA,UCSC,August,"University of California, Santa Cruz",
2014,London YSB- UK,UCL,September,,
2014,Carnegie Mellon and Pitt - USA,Carnegie_Mellon,September,Carnegie Mellon,
2014,Aachen Germany,Aachen,September,Aachen University,
2014,Groningen - Netherlands,Groningen,September,,
2014,ITESM CEM- Mexico,ITESM-CEM,September,ITESM CEM- Mexico,
2014,Nagahama Japan,Nagahama,September,Nagahama,
2014,BostonU NEGEM 3.3 - USA,BostonU,October,Boston University,
2014,Tokyo-Tech - USA,Tokyo_Tech,October,MIT,
2011,China Meetup,USTC-Software,July,University of Science and Technology of China,
2011,Preparation of Minds,TU-Delft,September,TU Delft,
2011,Turkish Teams Meetup,METU-Ankara,September,"Bilkent Cyber​​-park, Conference Hall, Block B",
2011,cebitec-symposium,Bielefeld-Germany,July," Bielefeld, Germany",
2011,2011 Alberta Workshops,Alberta,May,"Spring Workshop - Calgary, AB",TRUE
2011,Micro Congress Tec-Monterrey,Tec-Monterrey,June,"Tec de Monterrey, Campus Monterrey",
2011,UK Meetup,UEA-JIC_Norwich,,University of East Anglia (UEA),
2011,2011 KAIST iGEM summer camp,KAIST-Korea,July, KAIST,
2011,JAPAN Meetup,Tokyo_Metropolitan,June,Tokyo Metropolitan University,
2011,JAPAN Meetup,Kyoto,August,Kyoto University,
2010,aGEM Jamboree,NA,September,"Edmonton, Alberta",
2010,UK Meetup,Newcastle,July,Newcastle,
2010,China Meetup,SJTU-BioX-Shanghai,August,,
2010,Japan Meetup,Kyoto,August,Kyoto,
2010,Eastern Japan Meetup,Tokyo_Tech,August,Suzukakedai,
2010,Danish Meetup,DTU-Denmark,October,DTU-Denmark,
2009,UK Meetup,Edinburgh,June,Edinburgh University,
2009,oGEM,Waterloo,May,Waterloo,
2009,Alberta Meetups,NA,September,Banff,
2008,UK Meetup,Edinburgh,July,University of Edinburgh,
