TeamID,Team,Region,Country,Track,Division,Size,Status,Year,Section,Medal,Finalist,Winner
1109,Baskent_Meds,Europe,Turkey,Health & Medicine,Collegiate,11,Accepted,2013,Overgrad,bronze,0,0
923,BAU-Indonesia,Asia,Indonesia,Environment,Collegiate,12,Accepted,2012,IGEM,none,0,0
56,Bay_Area_RSI,North America,Usa,Medical,Collegiate,11,Accepted,2007,IGEM,silver,0,0
80,Bay_Area_RSI,North America,United States,,Collegiate,5,Accepted,2008,IGEM,none,0,0
135,BCCS-Bristol,Europe,United Kingdom,,Collegiate,24,Accepted,2008,IGEM,bronze,0,0
259,BCCS-Bristol,Europe,United Kingdom,Foundational Advance,Collegiate,16,Accepted,2009,IGEM,gold,0,0
381,BCCS-Bristol,Europe,United Kingdom,Food & Energy,Collegiate,14,Accepted,2010,IGEM,gold,1,0
2567,BCU,Asia,China,Environment,Collegiate,18,Accepted,2018,Undergrad,bronze,0,0
984,Beijing_BHSF,Asia,China,New Application(P),High_school,16,Accepted,2013,High_school,blocked,0,0
994,Beijing_HDFLS_High,Asia,China,Environment(P),High_school,20,Accepted,2013,IGEM,blocked,0,0
1283,Beijing_HDFLS_High,Asia,China,Health & Medicine(P),High_school,20,Accepted,2014,IGEM,blocked,0,0
78,Beijing_Normal,Asia,China,,Collegiate,7,Accepted,2008,IGEM,none,0,0
426,Berkeley,North America,United States,New Application,Collegiate,11,Accepted,2010,IGEM,gold,0,0
435,Berkeley,North America,,,Collegiate,13,Accepted,2006,IGEM,blocked,0,0
475,Berkeley,North America,,,Collegiate,4,Accepted,2005,IGEM,blocked,0,0
641,Berkeley,North America,United States,New Application,Collegiate,10,Accepted,2011,IGEM,gold,0,0
900,Berkeley,North America,United States,Information Processing,Collegiate,10,Accepted,2012,IGEM,gold,1,1
1131,Berkeley,North America,United States,Manufacturing,Collegiate,9,Accepted,2013,Undergrad,gold,0,0
49,Berkeley_LBL,North America,Usa,Energy,Collegiate,8,Accepted,2007,IGEM,bronze,0,0
198,Berkeley_Software,North America,United States,Software Tools,Collegiate,9,Accepted,2009,IGEM,gold,0,0
16,Berkeley_UC,North America,Usa,Medical,Collegiate,14,Accepted,2007,IGEM,gold,0,0
197,Berkeley_Wetlab,North America,United States,Foundational Advance,Collegiate,13,Accepted,2009,IGEM,gold,0,0
1438,Berlin,Europe,Germany,New Application,Collegiate,16,Accepted,2014,Overgrad,gold,0,0
1617,Berlin,Europe,Germany,Environment,Collegiate,13,Accepted,2015,Overgrad,silver,0,0
2482,Berlin_diagnostX,Europe,Germany,Diagnostics,Collegiate,37,Accepted,2017,Overgrad,gold,0,0
2555,BFSUICC-China,Asia,China,High School,High_school,10,Accepted,2018,High_school,silver,0,0
2728,BGIC-Global,Asia,China,High School,High_school,17,Accepted,2018,High_school,silver,0,0
2371,BGIC-Union,Asia,China,High School,High_school,14,Accepted,2017,High_school,silver,0,0
2026,BGIC_China,Asia,China,High School,High_school,24,Accepted,2016,High_school,silver,0,0
1223,BGU_Israel,Europe,Israel,Environment,Collegiate,17,Accepted,2013,Overgrad,silver,0,0
1458,BGU_Israel,Europe,Israel,Health & Medicine,Collegiate,11,Accepted,2014,Overgrad,none,0,0
1699,BGU_Israel,Asia,Israel,Health & Medicine,Collegiate,10,Accepted,2015,Overgrad,gold,1,0
2091,BGU_ISRAEL,Europe,Israel,Environment,Collegiate,15,Accepted,2016,Overgrad,gold,0,0
2538,BGU_Israel,Europe,Israel,Therapeutics,Collegiate,14,Accepted,2018,Overgrad,gold,0,0
1264,BHSF-Beijing,Asia,China,Environment(P),High_school,17,Accepted,2014,IGEM,blocked,0,0
1971,BHU_China,Asia,China,High School,High_school,14,Accepted,2016,High_school,none,0,0
1465,Bielefeld-CeBiTec,Europe,Germany,Energy,Collegiate,15,Accepted,2014,Overgrad,gold,0,0
1758,Bielefeld-CeBiTec,Europe,Germany,Environment,Collegiate,15,Accepted,2015,Overgrad,gold,0,0
2082,Bielefeld-CeBiTec,Europe,Germany,Foundational Advance,Collegiate,15,Accepted,2016,Overgrad,gold,0,0
2201,Bielefeld-CeBiTec,Europe,Germany,Foundational Advance,Collegiate,19,Accepted,2017,Overgrad,gold,0,0
2638,Bielefeld-CeBiTec,Europe,Germany,Environment,Collegiate,17,Accepted,2018,Overgrad,gold,0,0
389,Bielefeld-Germany,Europe,Germany,Food & Energy,Collegiate,14,Accepted,2010,IGEM,gold,0,0
525,Bielefeld-Germany,Europe,Germany,Manufacturing,Collegiate,18,Accepted,2011,IGEM,gold,0,0
863,Bielefeld-Germany,Europe,Germany,Environment,Collegiate,19,Accepted,2012,IGEM,gold,0,0
